time,is_openpilot_engaged,target position,LeadingVPosition,currentspeed,currentVelocity,current_Steer,old_Steer,steer_rate_limit,leftLaneProb,rightLaneProb,desiredPathProb,HasLead,DistanceToLead,specifyCruise,awarenessStatus
02:58:36,False,"Location(x=-514.229675, y=177.520950, z=0.001512)","Location(x=-514.452148, y=197.199280, z=0.001659)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,19.6795883178711,cruise,0
02:58:38,False,"Location(x=-514.229675, y=177.520950, z=0.001512)","Location(x=-514.498230, y=198.931122, z=0.001471)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,21.4118556976318,cruise,1
02:58:39,False,"Location(x=-514.229675, y=177.520950, z=0.001512)","Location(x=-514.723022, y=207.245911, z=0.001661)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,29.7290534973145,cruise,1
02:58:41,True,"Location(x=-514.229675, y=177.520950, z=0.001679)","Location(x=-515.068909, y=219.569855, z=0.001701)",0.003883212621087,"Vector3D(x=0.000000, y=-0.000000, z=0.001736)",0.092,0.092,0.5,0.246,0.362,0.26,False,42.0572776794434,cruise,1
02:58:42,True,"Location(x=-514.229980, y=177.575607, z=0.001564)","Location(x=-515.358948, y=231.081696, z=0.001724)",2.33266909416189,"Vector3D(x=-0.006442, y=1.042775, z=0.000658)",-0.017,0.093,0.5,0.237,0.322,0.263,False,53.5179977416992,cruise,1
02:58:43,True,"Location(x=-514.248840, y=180.089874, z=0.001705)","Location(x=-515.421997, y=243.445831, z=0.001741)",5.68519102937263,"Vector3D(x=-0.022704, y=2.541402, z=0.001248)",-2.229,-2.262,0.5,0.294,0.407,0.489,True,63.3668174743652,cruise,1
02:58:44,True,"Location(x=-514.290100, y=183.954895, z=0.001661)","Location(x=-514.701294, y=257.811859, z=0.001781)",8.68828479284589,"Vector3D(x=-0.050005, y=3.883682, z=0.000130)",-2.763,-2.781,0.5,0.415,0.535,0.493,True,73.8581085205078,cruise,1
02:58:45,True,"Location(x=-514.363647, y=188.957687, z=0.001745)","Location(x=-512.961792, y=271.573395, z=0.001801)",11.2177359445366,"Vector3D(x=-0.088980, y=5.013978, z=0.003697)",-3.318,-3.318,0.5,0.537,0.596,0.376,False,82.6276016235352,cruise,1
02:58:46,True,"Location(x=-514.488770, y=195.020020, z=0.001764)","Location(x=-510.310425, y=284.792053, z=0.001803)",13.7005660417249,"Vector3D(x=-0.143658, y=6.123006, z=-0.000002)",-1.753,-1.76,0.5,0.657,0.694,0.792,False,89.8692169189453,cruise,1
02:58:47,True,"Location(x=-514.659668, y=202.081467, z=0.001765)","Location(x=-506.858307, y=297.453125, z=0.001803)",16.0919096233407,"Vector3D(x=-0.177295, y=7.191530, z=0.000000)",-0.223,-0.224,0.5,0.721,0.748,0.93,False,95.6902008056641,cruise,1
02:58:49,True,"Location(x=-514.875549, y=210.858154, z=0.001764)","Location(x=-502.245728, y=310.705627, z=0.001803)",18.5768825491084,"Vector3D(x=-0.200680, y=8.302171, z=0.000002)",0.367,0.367,0.5,0.776,0.785,0.952,False,100.643081665039,cruise,1
02:58:50,True,"Location(x=-515.101013, y=220.770096, z=0.001763)","Location(x=-496.782990, y=323.422729, z=0.001803)",21.0888351563607,"Vector3D(x=-0.188121, y=9.425660, z=0.000000)",2.31,2.027,0.5,0.879,0.927,0.991,False,104.274223327637,cruise,1
02:58:51,True,"Location(x=-515.240662, y=231.529449, z=0.001763)","Location(x=-490.662292, y=335.314209, z=0.001803)",23.4682953270281,"Vector3D(x=-0.032957, y=10.491198, z=0.000000)",5.364,5.364,0.5,0.922,0.843,0.988,False,106.655395507813,cruise,1
02:58:52,True,"Location(x=-515.110229, y=244.264740, z=0.001765)","Location(x=-483.257324, y=347.504364, z=0.001803)",25.9547022240989,"Vector3D(x=0.318999, y=11.598385, z=-0.000001)",9.223,9.251,0.5,0.914,0.863,0.988,False,108.041786193848,cruise,1
02:58:53,True,"Location(x=-514.359741, y=258.265778, z=0.001762)","Location(x=-474.979980, y=359.130188, z=0.001803)",28.4517734327843,"Vector3D(x=1.078544, y=12.673248, z=-0.000000)",14.921,14.921,0.5,0.893,0.764,0.975,False,108.279243469238,cruise,1
02:58:54,True,"Location(x=-512.402710, y=273.925140, z=0.001776)","Location(x=-465.584747, y=370.451599, z=0.001803)",30.8240097145621,"Vector3D(x=2.309872, y=13.584560, z=-0.000002)",16.871,17.399,0.5,0.754,0.651,0.914,False,107.281311035156,cruise,1
02:58:55,True,"Location(x=-509.091248, y=289.490906, z=0.001799)","Location(x=-455.911255, y=380.513245, z=0.001803)",32.2075080399242,"Vector3D(x=3.625734, y=13.934025, z=0.000000)",17.017,17.034,0.5,0.892,0.898,0.989,False,105.419059753418,cruise,1
02:58:57,True,"Location(x=-504.145172, y=305.659363, z=0.001794)","Location(x=-445.269653, y=390.094208, z=0.001803)",33.3229831026706,"Vector3D(x=4.980739, y=14.039351, z=0.000001)",15.741,15.746,0.5,0.707,0.66,0.9,False,102.934783935547,cruise,1
02:58:58,True,"Location(x=-497.948181, y=321.094666, z=0.001820)","Location(x=-434.514954, y=398.468933, z=0.001803)",34.0834250579531,"Vector3D(x=6.303069, y=13.871777, z=0.000001)",16.504,16.505,0.5,0.838,0.888,0.982,False,100.052742004395,cruise,1
02:58:59,True,"Location(x=-490.397339, y=336.031982, z=0.001811)","Location(x=-423.266266, y=406.035980, z=0.001803)",34.4699126933125,"Vector3D(x=7.550363, y=13.432861, z=0.000001)",16.531,16.536,0.5,0.88,0.92,0.99,False,96.9904174804688,cruise,1
02:59:00,True,"Location(x=-481.161499, y=350.875488, z=0.001833)","Location(x=-411.121979, y=413.017059, z=0.001803)",34.559661843854,"Vector3D(x=8.776319, y=12.714719, z=-0.000002)",16.952,16.952,0.5,0.943,0.92,0.995,False,93.6328430175781,cruise,1
02:59:01,True,"Location(x=-469.420837, y=366.232178, z=0.001822)","Location(x=-397.186005, y=419.686584, z=0.001803)",34.8251229487085,"Vector3D(x=10.070730, y=11.872201, z=0.000001)",15.179,15.179,0.5,0.937,0.933,0.996,False,89.8623657226563,cruise,1
