time,is_openpilot_engaged,target position,currentspeed,currentVelocity,current_vehicle_angle,old_vehicle_angle,max_steer_vehicle_angle,steer_rate_limit,current_steer,old_steer,leftLaneProb,rightLaneProb,desiredPathProb,HasLead,specifyCruise,awarenessStatus,alertStatus,alertText1,alertText2,alertSound,detectionProbability,safety_procedure
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=0.255430)",1.10640325272739,"Vector3D(x=0.000000, y=0.000000, z=-0.494606)",0,0,70,0.5,0,0,0,0,0,False,cruise,0,normal,,,none,detection probability less than 30,mitigation strategy
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=0.130951)",3.60154303131104,"Vector3D(x=0.000000, y=0.000000, z=-1.610031)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=-0.000798)",1.46152767229414,"Vector3D(x=-0.000001, y=-0.000000, z=-0.653360)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=-0.023958)",0.04721248285861,"Vector3D(x=0.000000, y=0.000000, z=-0.021106)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=-0.018456)",0.194939704508998,"Vector3D(x=0.000000, y=-0.000000, z=0.087146)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:50,False,"Location(x=389.181793, y=-187.630157, z=-0.012264)",0.180685095550539,"Vector3D(x=-0.000000, y=0.000000, z=0.080773)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:51,False,"Location(x=389.181793, y=-187.630157, z=-0.004576)",0.097286095739886,"Vector3D(x=0.000000, y=0.000000, z=0.043491)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:51,False,"Location(x=389.181793, y=-187.630157, z=-0.001216)",0.050839771974727,"Vector3D(x=0.000000, y=0.000000, z=0.022727)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:51,False,"Location(x=389.181793, y=-187.630157, z=0.000176)",0.025619390259883,"Vector3D(x=-0.000000, y=0.000000, z=0.011453)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
15:48:51,False,"Location(x=389.181793, y=-187.630157, z=0.000883)",0.016425396858947,"Vector3D(x=-0.000000, y=0.000000, z=0.007343)",0,0,70,0.5,0,0,0,0,0,False,cruise,1,normal,,,none,detection probability less than 30,mitigation strategy
