time,is_openpilot_engaged,target position,LeadingVPosition,currentspeed,currentVelocity,current_Steer,old_Steer,steer_rate_limit,leftLaneProb,rightLaneProb,desiredPathProb,HasLead,DistanceToLead,specifyCruise,awarenessStatus
03:37:59,False,"Location(x=-514.229675, y=177.520950, z=0.001373)","Location(x=-514.451843, y=197.199280, z=0.001665)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,19.6795845031738,cruise,0
03:38:00,False,"Location(x=-514.229675, y=177.520950, z=0.001373)","Location(x=-514.492615, y=198.722488, z=0.001516)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,21.2031688690186,cruise,1
03:38:02,True,"Location(x=-514.229675, y=177.520950, z=0.001373)","Location(x=-514.730530, y=207.508316, z=0.001655)",0,"Vector3D(x=0.000000, y=0.000000, z=0.000000)",0,0,0.5,0,0,0,False,29.991548538208,cruise,1
03:38:04,True,"Location(x=-514.229675, y=177.520950, z=0.001644)","Location(x=-515.077271, y=219.852707, z=0.001695)",0.001445838300868,"Vector3D(x=-0.000000, y=-0.000000, z=-0.000646)",0.505,0.505,0.5,0.284,0.368,0.461,False,42.3402404785156,cruise,1
03:38:05,True,"Location(x=-514.229675, y=177.520950, z=0.001680)","Location(x=-515.348450, y=230.570587, z=0.001717)",0.000556039587937,"Vector3D(x=-0.000000, y=0.000000, z=0.000249)",0.505,0.505,0.5,0.278,0.374,0.503,False,53.0614318847656,cruise,1
03:38:06,True,"Location(x=-514.233276, y=178.106552, z=0.001445)","Location(x=-515.405823, y=244.314545, z=0.001736)",5.39259188815761,"Vector3D(x=-0.016393, y=2.410645, z=0.000269)",-1.673,-1.27,0.5,0.309,0.348,0.54,False,66.218376159668,cruise,1
03:38:07,True,"Location(x=-514.256897, y=180.731598, z=0.001641)","Location(x=-514.756775, y=257.111115, z=0.001772)",6.28315901100638,"Vector3D(x=-0.031183, y=2.808645, z=0.001493)",-3.177,-3.208,0.5,0.496,0.553,0.743,False,76.3811569213867,cruise,1
03:38:08,True,"Location(x=-514.311279, y=185.088531, z=0.001655)","Location(x=-512.827393, y=272.276276, z=0.001794)",9.31317736696331,"Vector3D(x=-0.059714, y=4.162928, z=0.000490)",-2.47,-2.485,0.5,0.542,0.643,0.395,False,87.2003707885742,cruise,1
03:38:09,True,"Location(x=-514.397705, y=190.279526, z=0.001829)","Location(x=-510.167419, y=285.287170, z=0.001796)",11.7512136866921,"Vector3D(x=-0.100539, y=5.252292, z=-0.000390)",-2.283,-2.327,0.5,0.633,0.732,0.749,False,95.2423553466797,cruise,1
03:38:10,True,"Location(x=-514.526428, y=196.399246, z=0.001765)","Location(x=-506.613220, y=298.148376, z=0.001796)",14.2191870727498,"Vector3D(x=-0.146249, y=6.354852, z=0.000001)",-1.485,-1.573,0.5,0.745,0.812,0.858,False,102.056381225586,cruise,1
03:38:11,True,"Location(x=-514.713318, y=204.187775, z=0.001762)","Location(x=-501.986389, y=311.299988, z=0.001796)",16.7576165368518,"Vector3D(x=-0.185341, y=7.489019, z=0.000001)",-0.401,-0.404,0.5,0.819,0.87,0.937,False,107.865661621094,cruise,1
03:38:13,True,"Location(x=-514.931458, y=213.077362, z=0.001765)","Location(x=-496.540802, y=323.876984, z=0.001796)",19.1617464609883,"Vector3D(x=-0.201383, y=8.563685, z=0.000001)",0.997,0.997,0.5,0.823,0.928,0.987,False,112.315498352051,cruise,1
03:38:14,True,"Location(x=-515.132324, y=222.639053, z=0.001762)","Location(x=-490.569885, y=335.429382, z=0.001796)",21.5605436578148,"Vector3D(x=-0.160356, y=9.637075, z=-0.000002)",3.413,3.418,0.5,0.917,0.967,0.997,False,115.433837890625,cruise,1
03:38:15,True,"Location(x=-515.232422, y=234.029922, z=0.001762)","Location(x=-483.386566, y=347.267181, z=0.001796)",24.0197347732161,"Vector3D(x=0.022207, y=10.737741, z=-0.000002)",6.016,6.028,0.5,0.935,0.931,0.995,False,117.630073547363,cruise,1
03:38:16,True,"Location(x=-515.020813, y=246.551926, z=0.001760)","Location(x=-475.449066, y=358.487244, z=0.001796)",26.48261709359,"Vector3D(x=0.420567, y=11.831297, z=0.000001)",10.406,10.427,0.5,0.932,0.951,0.997,False,118.724212646484,cruise,1
03:38:17,True,"Location(x=-514.119690, y=260.687500, z=0.001763)","Location(x=-466.473022, y=369.433105, z=0.001796)",28.9171788514146,"Vector3D(x=1.266569, y=12.864917, z=0.000000)",15.235,15.257,0.5,0.945,0.932,0.996,False,118.725784301758,cruise,1
03:38:18,True,"Location(x=-512.250854, y=274.712311, z=0.001763)","Location(x=-457.539490, y=378.906158, z=0.001796)",31.2282564562371,"Vector3D(x=2.375076, y=13.756736, z=-0.000001)",17.208,17.208,0.5,0.851,0.829,0.975,False,117.684715270996,cruise,1
03:38:19,True,"Location(x=-508.985931, y=289.913788, z=0.001774)","Location(x=-447.742523, y=387.984863, z=0.001796)",33.2029875805941,"Vector3D(x=3.745091, y=14.362803, z=0.000000)",17.418,17.107,0.5,0.871,0.824,0.977,False,115.623054504395,cruise,1
03:38:20,True,"Location(x=-504.478149, y=304.772949, z=0.001783)","Location(x=-437.901672, y=395.956207, z=0.001796)",34.7071347779963,"Vector3D(x=5.123758, y=14.645011, z=-0.000001)",16.494,16.494,0.5,0.878,0.894,0.987,False,112.901794433594,cruise,1
03:38:21,True,"Location(x=-498.620697, y=319.584930, z=0.001790)","Location(x=-427.724976, y=403.167053, z=0.001796)",36.0064649180516,"Vector3D(x=6.551884, y=14.702510, z=0.000001)",16.511,16.519,0.5,0.87,0.926,0.99,False,109.600059509277,cruise,1
03:38:22,True,"Location(x=-489.638184, y=337.359131, z=0.001803)","Location(x=-414.838593, y=410.994843, z=0.001796)",37.1130636384601,"Vector3D(x=8.241290, y=14.399385, z=0.000003)",16.257,16.821,0.5,0.951,0.961,0.998,False,104.962837219238,cruise,1
03:38:24,True,"Location(x=-477.559357, y=355.968109, z=0.001811)","Location(x=-400.220551, y=418.336853, z=0.001796)",37.9828011995263,"Vector3D(x=10.077581, y=13.665873, z=-0.000002)",16.364,17.74,0.5,0.911,0.897,0.991,False,99.3536682128906,cruise,1
03:38:25,True,"Location(x=-465.011017, y=371.327148, z=0.001818)","Location(x=-386.897675, y=423.766205, z=0.001796)",38.3946446247747,"Vector3D(x=11.525348, y=12.718738, z=-0.000001)",15.826,15.698,0.5,0.951,0.941,0.997,False,94.0826721191406,cruise,1
